X,Phi,alpha,Integral,low_center_int,hi_center_int,low_max_int,hi_max_int,nzero
300,3.0,0.01,1.0000,0.3651,0.6368,0.4148,0.5894,315
300,6.9,0.023,1.0000,0.3606,0.6408,0.5723,0.4318,319
300,5.1,0.017,1.0000,0.3548,0.6482,0.4065,0.5976,370
300,3.6,0.012,1.0000,0.3366,0.6661,0.3994,0.6055,384
310,2.48,0.008,1.0000,0.3096,0.6938,0.4118,0.5943,339
310,7.13,0.023,1.0000,0.3552,0.6472,0.5398,0.4640,262
310,7.75,0.025,1.0000,0.3551,0.6472,0.5387,0.4651,360
320,4.8,0.015,1.0000,0.3491,0.6536,0.5416,0.4631,359
330,1.98,0.006,1.0000,0.2768,0.7275,0.4119,0.5950,301
310,4.96,0.016,1.0000,0.3507,0.6518,0.4548,0.5494,303
320,1.6,0.005,1.0000,0.3595,0.6443,0.3994,0.6055,312
320,5.12,0.016,1.0000,0.3506,0.6519,0.5410,0.4634,359
330,2.31,0.007,1.0000,0.2964,0.7077,0.4089,0.5976,251
320,7.68,0.024,1.0000,0.3563,0.6462,0.5483,0.4556,291
330,6.93,0.021,1.0000,0.3570,0.6456,0.5416,0.4627,291
330,5.61,0.017,1.0000,0.3544,0.6485,0.4064,0.5976,377
330,5.94,0.018,1.0000,0.3551,0.6480,0.3999,0.6043,375
340,4.76,0.014,1.0000,0.3472,0.6567,0.4079,0.5964,394
340,2.72,0.008,1.0000,0.3096,0.6940,0.4123,0.5932,309
330,4.62,0.014,1.0000,0.3473,0.6567,0.4079,0.5964,308
340,3.74,0.011,1.0000,0.3323,0.6702,0.4098,0.5955,370
340,4.42,0.013,1.0000,0.3297,0.6735,0.4576,0.5474,311
340,7.82,0.023,1.0000,0.3603,0.6409,0.5739,0.4301,275
340,7.14,0.021,1.0000,0.3520,0.6503,0.4678,0.5366,357
350,4.55,0.013,1.0000,0.3508,0.6523,0.4523,0.5524,332
350,4.9,0.014,1.0000,0.3471,0.6568,0.4512,0.5532,294
360,3.96,0.011,1.0000,0.3321,0.6702,0.4100,0.5952,338
360,2.16,0.006,1.0000,0.2770,0.7272,0.4137,0.5935,311
360,4.32,0.012,1.0000,0.3468,0.6566,0.4496,0.5552,318
360,7.92,0.022,1.0000,0.3557,0.6463,0.4546,0.5493,319
360,7.2,0.02,1.0000,0.3573,0.6452,0.5406,0.4635,285
360,6.12,0.017,1.0000,0.3540,0.6488,0.5413,0.4633,324
370,2.96,0.008,1.0000,0.3095,0.6940,0.4544,0.5516,325
360,3.6,0.01,1.0000,0.3652,0.6368,0.4279,0.5765,363
370,4.07,0.011,1.0000,0.3320,0.6702,0.4100,0.5952,287
470,3.76,0.008,1.0000,0.3095,0.6941,0.4099,0.5966,293
470,4.23,0.009,1.0000,0.3174,0.6852,0.4118,0.5934,311
470,5.17,0.011,1.0000,0.3311,0.6715,0.4106,0.5945,323
470,4.7,0.01,1.0000,0.3652,0.6368,0.5410,0.4635,270
370,5.18,0.014,1.0000,0.3542,0.6473,0.4309,0.5737,296
310,1.55,0.005,1.0000,0.3594,0.6443,0.3991,0.6057,312
300,1.8,0.006,1.0000,0.2751,0.7277,0.4446,0.5622,263
300,2.4,0.008,1.0000,0.3096,0.6938,0.4117,0.5944,266
300,3.3,0.011,1.0000,0.3324,0.6699,0.4091,0.5960,342
300,2.1,0.007,1.0000,0.2964,0.7078,0.4147,0.5920,323
300,1.5,0.005,1.0000,0.3594,0.6443,0.4110,0.5939,309
470,5.64,0.012,1.0000,0.3346,0.6677,0.3998,0.6053,372
470,6.11,0.013,1.0000,0.3384,0.6644,0.4077,0.5968,378
320,8.0,0.025,1.0000,0.3551,0.6472,0.5392,0.4647,345
300,5.7,0.019,1.0000,0.3553,0.6472,0.4926,0.5114,391
320,1.92,0.006,1.0000,0.2767,0.7276,0.4118,0.5954,302
320,5.44,0.017,1.0000,0.3547,0.6482,0.4065,0.5976,322
330,2.64,0.008,1.0000,0.3096,0.6939,0.4173,0.5881,381
300,7.2,0.024,1.0000,0.3436,0.6578,0.4464,0.5580,353
330,6.27,0.019,1.0000,0.3552,0.6475,0.5416,0.4631,314
470,6.58,0.014,1.0000,0.3448,0.6586,0.4080,0.5964,301
370,8.88,0.024,1.0000,0.3615,0.6404,0.5725,0.4314,276
380,2.28,0.006,1.0000,0.2776,0.7272,0.4145,0.5928,338
470,10.81,0.023,1.0000,0.3599,0.6420,0.5723,0.4318,235
350,4.2,0.012,1.0000,0.3361,0.6667,0.4760,0.5288,359
470,11.28,0.024,1.0000,0.3555,0.6467,0.4295,0.5744,302
470,7.05,0.015,1.0000,0.3475,0.6564,0.4506,0.5539,293
470,8.46,0.018,1.0000,0.3537,0.6496,0.3042,0.7001,444
470,9.4,0.02,1.0000,0.3559,0.6463,0.4758,0.5282,350
470,7.99,0.017,1.0000,0.3528,0.6502,0.4755,0.5289,376
380,2.66,0.007,1.0000,0.3075,0.6959,0.4222,0.5839,280
470,7.52,0.016,1.0000,0.3560,0.6461,0.4329,0.5714,300
480,2.4,0.005,1.0000,0.3604,0.6427,0.4091,0.5960,388
470,11.75,0.025,1.0000,0.3542,0.6482,0.4941,0.5100,308
470,10.34,0.022,1.0000,0.3552,0.6473,0.5410,0.4633,334
470,8.93,0.019,1.0000,0.3596,0.6425,0.5732,0.4313,312
300,7.5,0.025,1.0000,0.3603,0.6409,0.5735,0.4305,330
470,9.87,0.021,1.0000,0.3557,0.6466,0.4285,0.5756,322
310,4.34,0.014,1.0000,0.3473,0.6565,0.5416,0.4631,269
300,4.5,0.015,1.0000,0.3494,0.6531,0.4286,0.5760,308
300,4.8,0.016,1.0000,0.3509,0.6517,0.4547,0.5496,387
310,5.89,0.019,1.0000,0.3552,0.6472,0.5409,0.4634,284
300,6.3,0.021,1.0000,0.3573,0.6452,0.4942,0.5098,305
320,3.2,0.01,1.0000,0.3651,0.6368,0.5413,0.4633,275
480,2.88,0.006,1.0000,0.2907,0.7139,0.4239,0.5828,255
480,3.36,0.007,1.0000,0.3077,0.6956,0.4311,0.5752,168
360,2.88,0.008,1.0000,0.3095,0.6940,0.4541,0.5519,322
480,3.84,0.008,1.0000,0.3095,0.6941,0.4100,0.5963,299
340,1.7,0.005,1.0000,0.5602,0.4420,0.5389,0.4642,280
480,4.32,0.009,1.0000,0.3173,0.6852,0.4119,0.5933,264
350,5.25,0.015,1.0000,0.3489,0.6538,0.4288,0.5758,309
480,4.8,0.01,1.0000,0.4837,0.5189,0.5390,0.4647,317
480,5.28,0.011,1.0000,0.3408,0.6623,0.4523,0.5530,303
370,5.55,0.015,1.0000,0.3487,0.6543,0.4942,0.5104,285
480,6.24,0.013,1.0000,0.3382,0.6644,0.4758,0.5289,327
480,5.76,0.012,1.0000,0.3346,0.6677,0.3998,0.6053,371
370,4.81,0.013,1.0000,0.3395,0.6634,0.3042,0.7005,420
350,2.45,0.007,1.0000,0.2921,0.7119,0.4667,0.5396,304
480,6.72,0.014,1.0000,0.3447,0.6588,0.4080,0.5964,329
350,8.4,0.024,1.0000,0.3560,0.6462,0.5497,0.4542,290
360,8.28,0.023,1.0000,0.3551,0.6473,0.4085,0.5953,426
380,7.22,0.019,1.0000,0.3548,0.6482,0.4941,0.5103,345
480,7.2,0.015,1.0000,0.3473,0.6565,0.4550,0.5494,372
480,7.68,0.016,1.0000,0.3443,0.6579,0.4687,0.5360,339
480,8.64,0.018,1.0000,0.3536,0.6497,0.3039,0.7004,360
380,8.36,0.022,1.0000,0.3557,0.6464,0.5415,0.4631,288
480,9.6,0.02,1.0000,0.3559,0.6463,0.5410,0.4634,281
480,9.12,0.019,1.0000,0.3537,0.6493,0.4927,0.5114,294
480,8.16,0.017,1.0000,0.3528,0.6502,0.4756,0.5288,293
350,1.75,0.005,1.0000,0.3595,0.6441,0.3999,0.6051,401
310,6.82,0.022,1.0000,0.3562,0.6462,0.4751,0.5288,313
300,6.0,0.02,1.0000,0.3582,0.6448,0.4295,0.5744,412
480,11.04,0.023,1.0000,0.3540,0.6485,0.4749,0.5290,310
340,3.06,0.009,1.0000,0.3181,0.6847,0.4102,0.5958,395
310,5.27,0.017,1.0000,0.3548,0.6482,0.4065,0.5976,378
300,3.9,0.013,1.0000,0.3512,0.6519,0.4311,0.5736,333
340,5.78,0.017,1.0000,0.3543,0.6486,0.4940,0.5104,293
320,4.16,0.013,1.0000,0.3376,0.6647,0.4661,0.5387,361
310,4.65,0.015,1.0000,0.3853,0.6165,0.5718,0.4323,223
310,4.03,0.013,1.0000,0.3403,0.6629,0.5418,0.4630,349
330,4.95,0.015,1.0000,0.3561,0.6460,0.4296,0.5746,350
