M_X,alpha,mean,rms
260,0.029,255.0002273663819,5.107837641781239
290,0.024,284.61405046640954,5.8178358001607435
260,0.008,256.1833159851922,4.700379934419149
280,0.016999999999999998,274.8888497556031,5.687067019863223
270,0.029,264.66742813184686,5.5260606326412
250,0.024,245.78519172264492,4.59342076063227
300,0.014,294.97896886792216,6.143342450710648
250,0.014,246.17346234873656,4.406354545690598
270,0.013,265.7550477025434,5.108204647588562
290,0.006999999999999999,285.5728557779018,5.651920215867141
260,0.009,256.18331599311125,4.700379912551246
270,0.027,264.6674281472513,5.526060623657611
260,0.019000000000000003,255.4184179962344,4.9689888762783685
250,0.005,245.9948849874287,4.261411903131063
300,0.016,294.37926356750415,6.380210327425292
250,0.03,245.52334822975158,4.687572557428263
290,0.018,284.6087065138178,6.088595868339131
250,0.009,246.27529731482494,4.441843215317643
290,0.009,285.57285571447983,5.651920147800189
250,0.018,245.68252934084046,4.626892141485855
280,0.005,275.6213593647003,5.208706154903468
270,0.009000000000000001,265.9660485913407,5.055536122216779
250,0.015,246.1899273460076,4.392177671760494
260,0.025,255.52171604183425,4.860056544127228
260,0.03,255.01236809420112,5.121657150761366
260,0.023000000000000003,255.52379021196109,4.857484215566323
270,0.013999999999999999,265.7550477866977,5.108204683033932
260,0.013,255.95344256208776,4.76374187996984
250,0.006,246.2752973534063,4.441843183686914
290,0.013999999999999999,285.216409015827,5.7530192943936775
260,0.02,255.45455245727166,4.912651516234468
250,0.02,245.68664769609015,4.633517347671136
290,0.026,284.03379471139516,6.250466699471373
280,0.01,275.78737913294844,5.450439875428898
270,0.016,265.14670310015646,5.399396644112718
280,0.024,274.8543110079429,5.587795132911585
250,0.027,245.3730422305509,4.68335693745553
270,0.021,265.22973640364984,5.1590616361084045
280,0.019,274.8888497818028,5.687067022583199
300,0.023,294.3517094217188,6.2043638603940785
260,0.01,256.2007030089787,4.722436436666305
300,0.008,295.48388802990024,5.965732321999255
290,0.029,284.0337946848818,6.25046669574054
250,0.025,245.86495609842774,4.57473284117567
310,0.006,305.35758710490893,6.242059979218895
310,0.011000000000000001,304.85653559611626,6.414486461421276
300,0.018000000000000002,294.3792634972625,6.3802104371038855
270,0.008,265.96604869111707,5.055536019597077
300,0.006,295.4838879918584,5.965732348735879
270,0.006,265.96604867330365,5.0555360688524615
250,0.019,245.68252931574352,4.626892122109058
250,0.017,245.68252927025134,4.626892196953155
300,0.03,293.7438807239674,6.5644301339388464
280,0.022000000000000002,274.8543110961465,5.587795014800545
270,0.019,265.1467031441593,5.399396639169905
310,0.015000000000000001,304.238798719926,6.732374216594881
310,0.020999999999999998,304.13445898527044,6.574126048173437
310,0.023,304.134458977048,6.574125995958872
290,0.016,284.60870650001596,6.088595859632259
280,0.008,275.85347386960785,5.345715880778922
290,0.012,285.21640897354587,5.753019305100796
260,0.022,255.52379026250503,4.857484212670161
260,0.012,255.95344269724154,4.763741860056095
250,0.029,245.37304216409785,4.683356894733704
250,0.008,246.27529728456167,4.441843219348064
310,0.009,305.35758712922444,6.2420600245573965
300,0.020999999999999998,294.35170940118934,6.204363856656632
250,0.016,245.68252931153853,4.626892108516051
280,0.007,275.853473891806,5.345715851981149
280,0.021,274.8543110404409,5.587795022703087
270,0.018000000000000002,265.14670316279523,5.399396622179992
260,0.011,255.9534426488098,4.763741886399269
250,0.028,245.37304208816667,4.68335693198616
300,0.02,294.4544018718798,6.239867072987354
290,0.015,285.21650787694176,5.750019132799737
270,0.005,265.7774607220965,4.846933986674201
250,0.007,246.27529736985926,4.441843209675383
250,0.026,245.3730422097104,4.683356888506966
270,0.006999999999999999,265.96604863991644,5.055536083909434
310,0.008,305.3575871243494,6.242060066696232
300,0.005,295.3513817714789,5.539056269324996
310,0.026000000000000002,303.533843848116,6.993882645206034
290,0.011,285.2164089516024,5.753019299909121
320,0.014000000000000002,314.7202583438175,6.615377552343476
260,0.021,255.52379022618516,4.857484236963625
310,0.029,303.5338438995772,6.993882588079341
320,0.016,314.1701232251578,7.031301336033785
320,0.018,314.17012323456527,7.031301276113962
320,0.006,315.1229050979881,6.532389040940974
310,0.025,304.12028864483915,6.6477486082512165
260,0.007,256.183316048166,4.7003799134598925
270,0.026,264.6674282102614,5.526060608712173
310,0.02,304.26800740963114,6.676820932736931
290,0.006,285.5728557294678,5.651920163308805
260,0.016,255.41841798170168,4.968988827703298
270,0.012,265.75504775650336,5.108204695076954
300,0.028999999999999998,293.69248262998644,6.671675499411884
270,0.027999999999999997,264.66742819560784,5.52606058443423
320,0.019,314.17012328085906,7.031301303607439
250,0.013,246.17346228446772,4.406354606371264
300,0.013,294.9789688179817,6.143342450743811
320,0.020999999999999998,313.8597006033517,6.980003447346183
290,0.023,284.61405045216674,5.817835760215635
260,0.028,255.00022730203455,5.107837659969574
250,0.023,245.78519175186133,4.593420790458112
260,0.018,255.4184179981953,4.9689888309569135
300,0.015,295.02084859692326,5.8863515427213535
280,0.016,274.8888497506757,5.68706698672583
270,0.025,265.16702835866363,5.202135781395799
290,0.005,285.3686208306919,5.521591671390811
320,0.025,313.9045940927656,6.8716325544969035
320,0.011,314.7202583480839,6.615377524932884
260,0.006,256.1833159649797,4.700379879581438
320,0.01,315.13674884602335,6.523497208964062
260,0.015,255.9813706500811,4.734889521482126
260,0.027,255.0002273515482,5.107837660881947
320,0.012,314.7202583321644,6.61537748591002
280,0.015000000000000001,274.8888497650166,5.687066980460673
300,0.027,293.6924826591042,6.671675549509594
300,0.012,294.97896886769394,6.1433424585618015
250,0.012,246.17346230995562,4.406354624815636
310,0.019,304.23879868738277,6.73237421773074
290,0.022,284.6140505030458,5.81783566650971
