,xmass,phimass,oEvents,cEvents,eff
0,300,30.0,88032,9,0.00010223555070883315
1,500,50.0,46356,0,0.0
2,200,10.0,79097,145,0.0018331921564661113
3,3000,30.0,13501,7662,0.5675135175172209
4,3000,15.0,13855,7423,0.5357632623601588
5,1500,45.0,47972,4511,0.09403401984490953
6,2000,10.0,13081,5918,0.45241189511505236
7,1500,75.0,48638,4,8.224022369340844e-05
8,3000,90.0,46557,5096,0.10945722447752218
9,3000,150.0,24792,0,0.0
10,1000,250.0,24628,0,0.0
11,750,7.5,12496,3819,0.3056177976952625
12,2000,100.0,24124,0,0.0
13,500,25.0,87966,36,0.0004092490280335584
14,600,18.0,44576,3462,0.07766511127063891
15,1500,375.0,14847,0,0.0
16,300,1.5,17580,2536,0.14425483503981798
17,2000,500.0,14719,0,0.0
18,400,20.0,85492,46,0.0005380620408927151
19,500,2.5,11190,2502,0.22359249329758712
20,600,150.0,23744,0,0.0
21,200,80.0,85549,0,0.0
22,300,3.0,17949,2526,0.1407320742102624
23,1500,7.5,12681,5187,0.409037142181216
24,3000,300.0,15128,0,0.0
25,3000,1200.0,15037,0,0.0
26,750,187.5,23557,0,0.0
27,400,100.0,45728,0,0.0
28,600,240.0,24218,0,0.0
29,3000,60.0,14439,5295,0.36671514647828796
30,1500,37.5,23502,4940,0.21019487703174197
31,2000,30.0,13746,6125,0.4455841699403463
32,3000,75.0,23993,5737,0.23911140749385237
33,400,10.0,20630,3115,0.150993698497334
34,400,12.0,42829,2891,0.06750099231828902
35,2000,200.0,14555,0,0.0
36,1500,600.0,15052,0,0.0
37,300,9.0,41239,2690,0.06522951574965445
38,300,6.0,19727,4347,0.2203578851320525
39,200,20.0,81615,8,9.802119708386938e-05
40,2000,20.0,13630,7194,0.5278063096111518
41,1500,15.0,12953,5963,0.4603566741295453
42,1000,10.0,12632,4657,0.368666877770741
43,1000,15.0,12842,5189,0.4040647874162903
44,750,15.0,21555,6334,0.2938529343539782
45,600,15.0,22264,3933,0.17665289256198347
46,500,15.0,44126,3223,0.07304083760141414
47,600,12.0,21520,5940,0.2760223048327137
48,500,10.0,20793,5503,0.26465637474149956
49,200,3.0,34114,4536,0.132965937738172
50,200,2.0,32503,1910,0.05876380641786912
51,200,1.0,32787,2642,0.08058071796748711
52,400,160.0,45795,0,0.0
53,200,6.0,78063,4308,0.05518619576495907
54,200,5.0,36447,4062,0.11144950201662689
55,200,4.0,35435,5207,0.14694511076619163
56,600,6.0,11818,3041,0.25731934337451345
57,600,3.0,11440,2925,0.2556818181818182
58,1000,25.0,22843,4341,0.19003633498227027
59,300,7.5,20487,2852,0.13921023087811782
60,750,37.5,92734,19,0.0002048870964263377
61,1000,5.0,12414,4239,0.3414693088448526
62,600,9.0,12387,4450,0.3592475982885283
63,300,75.0,89953,0,0.0
64,2000,50.0,23613,5542,0.23470122390208784
65,500,7.5,12014,4001,0.33302813384384883
66,750,22.5,46150,3768,0.08164680390032503
67,200,50.0,82242,0,0.0
68,500,200.0,23693,0,0.0
69,300,4.5,18734,4532,0.2419130991779652
70,600,60.0,23519,0,0.0
71,300,120.0,86681,0,0.0
72,1000,20.0,13423,4045,0.30134843179617077
73,750,300.0,14265,0,0.0
74,500,12.5,21831,3567,0.16339150748935
75,750,75.0,23942,0,0.0
76,2000,40.0,13676,4858,0.35522082480257383
77,1000,30.0,46015,3980,0.08649353471694013
78,1500,22.5,13288,5797,0.43625827814569534
79,1500,30.0,13739,4527,0.3294999636072494
80,500,5.0,11652,2717,0.23317885341572261
81,600,30.0,93182,36,0.00038634070957910326
82,3000,750.0,15403,0,0.0
83,1000,100.0,23922,0,0.0
84,300,15.0,83687,94,0.0011232329991516007
85,400,8.0,19826,4917,0.24800766670029253
86,400,2.0,18325,3284,0.1792087312414734
87,400,4.0,18395,3403,0.1849959228051101
88,400,6.0,18332,5500,0.30002181976871045
89,3000,45.0,13921,6768,0.48617197040442495
90,750,11.25,12632,4799,0.37990816972767577
91,750,3.75,11759,3531,0.30028063610851263
92,1000,400.0,14941,0,0.0
93,1500,150.0,24303,0,0.0
94,2000,60.0,48957,5098,0.10413219764282942
95,2000,800.0,14955,0,0.0
96,1000,50.0,45431,8,0.00017609121524949923
97,500,125.0,47171,0,0.0
98,400,40.0,44970,0,0.0
99,750,18.75,22444,4107,0.18298877205489217
