X Mass,Phi Mass,N Events
200,1,50237
200,2,48394
200,3,49984
200,4,50584
200,5,47123
200,6,97337
200,10,101527
200,20,96844
200,50,97641
200,80,99896
300,1.5,24587
300,3,24866
300,4.5,24223
300,6,24603
300,7.5,24998
300,9,50624
300,15,101521
300,30,99060
300,75,98555
300,120,100174
400,2,25287
400,4,24675
400,6,24393
400,8,24682
400,10,24963
400,12,50278
400,20,100686
400,40,50121
400,100,47625
400,160,50294
500,2.5,13042
500,5,14865
500,7.5,15025
500,10,25305
500,12.5,25295
500,15,49487
500,25,99499
500,50,48480
500,125,48187
500,200,25284
600,3,14836
600,6,15071
600,9,14782
600,12,25014
600,15,25022
600,18,50548
600,30,101035
600,60,24894
600,150,24942
600,240,25446
750,3.75,15019
750,7.5,15128
750,11.25,14854
750,15,25207
750,18.75,25060
750,22.5,50489
750,37.5,96975
750,75,25177
750,187.5,24984
750,300,14779
1000,5,15046
1000,10,14920
1000,15,15146
1000,20,14948
1000,25,24958
1000,30,50487
1000,50,49472
1000,100,24966
1000,250,24980
1000,400,15041
1500,7.5,15386
1500,15,14481
1500,22.5,14810
1500,30,15046
1500,37.5,25087
1500,45,50666
1500,75,50911
1500,150,24962
1500,375,15043
1500,600,14764
2000,10,14991
2000,20,14744
2000,30,15035
2000,40,15240
2000,50,23771
2000,60,49570
2000,100,24871
2000,200,15007
2000,500,15268
2000,800,14924
3000,15,14957
3000,30,14825
3000,45,15013
3000,60,14911
3000,75,25220
3000,90,49769
3000,150,24873
3000,300,15246
3000,750,15253
3000,1200,15135
