X Mass,Phi Mass,N Events
200,1,49401
200,2,47850
200,3,49185
200,4,49673
200,5,49329
200,6,102221
200,10,100093
200,20,100947
200,50,97662
200,80,99939
300,1.5,24719
300,3,24754
300,4.5,25123
300,6,25491
300,7.5,25396
300,9,49963
300,15,97673
300,30,101307
300,75,100347
300,120,95905
400,2,24962
400,4,24422
400,6,23480
400,8,24535
400,10,24618
400,12,49525
400,20,96075
400,40,49804
400,100,49461
400,160,49392
500,2.5,14928
500,5,15026
500,7.5,14994
500,10,24849
500,12.5,25259
500,15,49753
500,25,96582
500,50,50201
500,125,49994
500,200,25145
600,3,14998
600,6,14918
600,9,15160
600,12,25204
600,15,25353
600,18,49492
600,30,100426
600,60,25165
600,150,24869
600,240,25379
750,3.75,14907
750,7.5,15377
750,11.25,14993
750,15,24775
750,18.75,24841
750,22.5,50269
750,37.5,98625
750,75,25149
750,187.5,24352
750,300,14748
1000,5,15181
1000,10,15102
1000,15,14889
1000,20,15104
1000,25,24831
1000,30,49130
1000,50,47569
1000,100,24750
1000,250,25191
1000,400,15237
1500,7.5,14840
1500,15,14949
1500,22.5,14933
1500,30,15000
1500,37.5,25037
1500,45,50512
1500,75,50538
1500,150,24967
1500,375,15015
1500,600,15203
2000,10,15141
2000,20,15308
2000,30,15182
2000,40,14714
2000,50,24979
2000,60,51173
2000,100,25010
2000,200,14929
2000,500,14837
2000,800,15060
3000,15,15410
3000,30,14898
3000,45,15052
3000,60,15291
3000,75,25122
3000,90,48605
3000,150,25664
3000,300,15490
3000,750,15480
3000,1200,15100
